거래번호,거래일자,계정과목,거래처,금액,적요,담당자,승인자,이상여부,이상유형
TXN0000002648,2025-11-23,현금,(주) 마루바이오,3459630,현금 입금,서정호,윤영길,0,
TXN0000001072,2025-03-06,매입,주식회사 발해,1284881,상품 매입,한영자,이지혜,0,
TXN0000001614,2025-06-07,매출,주식회사 보람개발,5716810,수수료 수입,조순옥,박상현,0,
TXN0000002019,2025-11-13,매출,주식회사 아름,1252123,제품 판매,박순자,최상현,0,
TXN0000004617,2025-10-20,급여,주식회사 한가람,4856053,퇴직금 지급,김예준,배승현,0,
ANO0000000871,2025-05-25,접대비,특정거래처,91635,소액 접대,김철수,김영숙,1,빈번한 소액거래
TXN0000004692,2025-05-14,여비교통비,(유) 푸른,165749,출장비,김광수,한미경,0,
ANO0000000872,2025-08-23,여비교통비,유한회사 마루,8635305,출장비,이우진,백준영,1,비정상적 금액
TXN0000000398,2025-01-11,매출,주식회사 제나,3241373,용역 제공,박재호,오성현,0,
TXN0000004606,2025-01-18,매출,유한회사 한가람금고,6763293,수수료 수입,오주원,최성현,0,
TXN0000007162,2025-11-30,급여,(유) 미래코스메틱,4833920,급여 지급,안영식,손성훈,0,
TXN0000008347,2025-05-03,여비교통비,주식회사 시너지,44986,교통비,윤정희,김현정,0,
TXN0000000162,2025-01-26,여비교통비,유한회사 종합소프트,88976,교통비,박시우,이순자,0,
TXN0000002270,2025-07-20,매입,(유) 비전백제기획,643663,상품 매입,송광수,안지후,0,
TXN0000001028,2025-09-22,여비교통비,유한회사 발해푸른제조,185869,숙박비,김정웅,김성민,0,
TXN0000006524,2025-01-31,매출,(유) 푸른,8036602,제품 판매,최옥자,조동현,0,
TXN0000007592,2025-08-21,급여,(주) 한강개발,3324298,급여 지급,전동현,구서준,0,
ANO0000000409,2025-08-09,현금,주식회사 보람자동차,528780,긴급 지출,김지은,김지우,1,주말 거래
TXN0000001482,2025-11-03,급여,유한회사 국민연구소,3167499,급여 지급,박지후,최명숙,0,
TXN0000000535,2025-06-21,매입,주식회사 마루보람엔지니어링,3659891,원재료 구매,황민재,최경수,0,
TXN0000007133,2025-10-28,여비교통비,유한회사 비전은행,43767,출장비,장보람,황도현,0,
TXN0000006241,2025-02-08,접대비,(주) 고구려씨앤씨유통,164958,선물비,윤현주,정지우,0,
TXN0000003440,2025-04-13,매출,(유) 유니온보안,6598138,용역 제공,박서윤,김미정,0,
TXN0000000201,2025-03-29,임차료,(유) 한빛,1984414,사무실 임차료,류종수,김정순,0,
ANO0000000004,2025-09-11,매입,유한회사 이노,10000000,물품 구매,김상호,김지영,1,라운드 금액
TXN0000000463,2025-09-07,현금,주식회사 다올마루에너지,469858,소액 경비,윤예원,박영식,0,
TXN0000004722,2025-10-25,접대비,유한회사 글로벌바이오,415053,거래처 접대,권준혁,박진호,0,
TXN0000001229,2025-05-27,접대비,(주) 이노엔지니어링,251773,회식비,김준혁,장현주,0,
TXN0000002006,2025-11-02,임차료,주식회사 보람한강자동차,2271968,창고 임차료,이정숙,이성훈,0,
ANO0000000100,2025-12-27,현금,(주) 첨단,116249,긴급 지출,김정식,양미숙,1,주말 거래
TXN0000001457,2025-12-04,임차료,(유) 발해,1939372,창고 임차료,이유진,심민재,0,
TXN0000003470,2025-12-16,매입,(유) 중앙,1992572,원재료 구매,김영희,곽지연,0,
TXN0000007237,2025-09-29,매입,유한회사 신라테크,1380205,원재료 구매,최현우,김명자,0,
TXN0000004012,2025-10-17,현금,(유) 마음은행,2129348,현금 출금,최주원,박영자,0,
TXN0000008075,2025-08-16,급여,주식회사 스타,4467497,퇴직금 지급,김현주,이영순,0,
TXN0000000565,2025-07-24,매입,(주) 코리아엔지니어링,4384889,소모품 구매,홍영길,김정웅,0,
TXN0000001594,2025-05-26,매입,유한회사 모두코어기획,2657735,원재료 구매,오도윤,조현우,0,
TXN0000002938,2025-10-31,매입,주식회사 푸른마루기획,2746054,원재료 구매,김성진,이정남,0,
TXN0000000126,2025-05-16,매출,(유) 넥스트신라반도체,6113073,용역 제공,지영진,박현준,0,
TXN0000005852,2025-05-31,임차료,(주) 이노,1706318,사무실 임차료,최현숙,김영호,0,
TXN0000008624,2025-03-05,여비교통비,주식회사 코리아발해기술,38461,출장비,김미정,장숙자,0,
TXN0000002125,2025-02-24,임차료,(유) 나루시스템,2543221,창고 임차료,박영철,이정남,0,
ANO0000000111,2025-11-01,현금,주식회사 고구려,155790,긴급 지출,이예준,이성호,1,주말 거래
TXN0000004659,2025-06-13,매출,주식회사 신라코어소프트,3884174,용역 제공,장미정,심종수,0,
TXN0000004932,2025-05-04,매출,(주) 모두,1331753,수수료 수입,박영희,박성현,0,
TXN0000004364,2025-06-29,여비교통비,주식회사 한가람유통,18502,숙박비,노지우,박재현,0,
TXN0000006545,2025-10-02,접대비,(주) 미래자동차,147115,선물비,김미정,류영식,0,
TXN0000002404,2025-05-05,현금,(주) 발해,4709181,현금 출금,고채원,하예진,0,
TXN0000004980,2025-04-22,매출,주식회사 아름미래반도체,1710300,제품 판매,문현준,배정숙,0,
TXN0000003048,2025-03-16,접대비,(유) 이노,101277,거래처 접대,이재호,손준영,0,
TXN0000003899,2025-11-12,임차료,주식회사 첨단마루네트웍스,2121772,창고 임차료,김예지,강현지,0,
ANO0000000459,2025-07-05,접대비,동일거래처,450000,거래처 접대,박진호,안보람,1,중복거래
TXN0000008805,2025-05-06,매출,(유) 푸른보안,9164257,수수료 수입,김준영,송순자,0,
TXN0000004307,2025-09-11,현금,주식회사 한강,3203224,현금 출금,황주원,황정훈,0,
TXN0000006789,2025-10-05,현금,유한회사 브레인국민소프트,2723085,현금 입금,박영희,박지현,0,
TXN0000003275,2025-01-25,매출,유한회사 다올정보통신,664575,수수료 수입,서상철,김영길,0,
TXN0000002453,2025-02-10,여비교통비,유한회사 중앙윈드솔루션,61966,숙박비,손준호,이옥순,0,
TXN0000002182,2025-12-22,접대비,(주) 윈드기술,308371,거래처 접대,김성호,양성훈,0,
TXN0000001309,2025-07-31,매입,(유) 모두,4066238,원재료 구매,이경자,이영길,0,
TXN0000007971,2025-11-09,여비교통비,유한회사 하나,67308,교통비,곽정자,서지아,0,
TXN0000006674,2025-02-02,급여,주식회사 글로벌금고,4452523,상여금 지급,김지영,김혜진,0,
TXN0000004355,2025-08-16,접대비,유한회사 마루보안,325076,거래처 접대,김병철,성민석,0,
TXN0000000721,2025-05-01,접대비,(유) 한빛,326854,회식비,김지후,이준혁,0,
TXN0000008778,2025-11-10,매입,(유) 푸른은행,4700997,원재료 구매,김아름,김서연,0,
TXN0000001271,2025-09-19,현금,주식회사 제나마음유통,3434377,소액 경비,황상철,우상호,0,
TXN0000004967,2025-05-06,현금,유한회사 겨레,4542642,소액 경비,황지후,이준혁,0,
ANO0000000220,2025-04-18,매입,(주) 한강,2000000,물품 구매,이정희,김중수,1,라운드 금액
TXN0000007835,2025-09-26,여비교통비,유한회사 유니온,26954,출장비,이현숙,김명자,0,
TXN0000006546,2025-08-06,현금,주식회사 한가람솔루션,1458980,현금 입금,최중수,강민재,0,
ANO0000000414,2025-09-24,여비교통비,(유) 하나아름신문,7920805,출장비,박미영,박은영,1,비정상적 금액
TXN0000002930,2025-08-31,임차료,주식회사 유니온코리아자동차,2981431,창고 임차료,서승현,김수진,0,
TXN0000000999,2025-01-14,매입,(주) 종합플랫폼,3514964,원재료 구매,윤윤서,이정수,0,
TXN0000002047,2025-01-11,현금,유한회사 가람,4676115,현금 입금,조영자,황은영,0,
TXN0000001347,2025-12-06,접대비,(유) 유니온중앙자동차,274385,거래처 접대,홍현준,김예진,0,
TXN0000008070,2025-12-23,접대비,주식회사 가온,340743,회식비,이정자,양정희,0,
TXN0000001419,2025-10-25,접대비,(주) 조선전자,351080,선물비,김진호,김혜진,0,
TXN0000000686,2025-07-31,현금,(유) 유니온다올센터,3046107,소액 경비,이영자,구성수,0,
TXN0000002402,2025-11-18,급여,(유) 고구려,4843056,상여금 지급,윤혜진,이상훈,0,
ANO0000000848,2025-02-19,접대비,동일거래처,450000,거래처 접대,이경희,김명숙,1,중복거래
TXN0000004227,2025-11-15,현금,유한회사 가람코스메틱,88366,현금 출금,박승현,송성민,0,
TXN0000003548,2025-10-16,급여,주식회사 에코,2235478,상여금 지급,김영희,김현주,0,
TXN0000005039,2025-09-15,현금,(주) 하나,1719330,현금 입금,김경수,김경희,0,
TXN0000006191,2025-06-11,접대비,유한회사 고구려,257492,거래처 접대,강영수,김정희,0,
TXN0000008150,2025-04-19,매입,유한회사 신라,3141328,원재료 구매,차서윤,김지연,0,
TXN0000002892,2025-03-28,여비교통비,(유) 첨단,140463,출장비,박영수,장순옥,0,
TXN0000006010,2025-06-17,급여,주식회사 마음첨단네트웍스,2906393,상여금 지급,이정희,김은정,0,
TXN0000006465,2025-06-22,접대비,주식회사 코리아,350754,거래처 접대,류현주,최정수,0,
TXN0000007042,2025-03-02,현금,(유) 라온,322497,소액 경비,이정숙,김영일,0,
TXN0000008689,2025-02-20,여비교통비,유한회사 코리아,23071,출장비,양성진,김정식,0,
TXN0000000129,2025-08-20,현금,(유) 고구려에이아이,132727,소액 경비,황윤서,이진우,0,
TXN0000002677,2025-02-07,매입,유한회사 고구려시스템즈,912477,원재료 구매,권수빈,한경자,0,
TXN0000002731,2025-07-30,매입,(주) 제나월드시스템즈,2375269,상품 매입,김순자,최영일,0,
ANO0000000266,2025-01-03,접대비,특정거래처,91010,소액 접대,김철수,박미숙,1,빈번한 소액거래
ANO0000000098,2025-08-29,여비교통비,(유) 백제,8761390,출장비,장서윤,이순옥,1,비정상적 금액
ANO0000000656,2025-08-30,현금,(유) 겨레소프트,134655,긴급 지출,홍옥순,구정자,1,주말 거래
TXN0000000636,2025-08-24,접대비,(유) 원더항공,340748,선물비,이민재,이상철,0,
TXN0000000900,2025-12-20,매출,유한회사 이노시너지상사,1503436,제품 판매,이지현,송경수,0,
TXN0000001183,2025-08-29,접대비,(유) 모두,319523,선물비,홍시우,이성현,0,
TXN0000008928,2025-03-02,매출,유한회사 유니온고려반도체,883586,용역 제공,김민재,최은영,0,
TXN0000000906,2025-03-25,매입,(유) 첨단,3244590,원재료 구매,권성수,권아름,0,
TXN0000000835,2025-01-06,급여,(유) 인포,2955478,상여금 지급,배미영,윤영호,0,
TXN0000001528,2025-01-27,접대비,유한회사 글로벌푸른자동차,138936,선물비,박준호,한현지,0,
ANO0000000476,2025-07-06,여비교통비,유한회사 발해에너지,5050873,출장비,이정식,최서영,1,비정상적 금액
TXN0000002470,2025-11-08,매출,유한회사 중앙중앙출판,5075502,수수료 수입,엄수빈,오영미,0,
ANO0000000753,2025-08-05,여비교통비,(유) 백제마루소프트,8499820,출장비,이준호,김하윤,1,비정상적 금액
TXN0000002934,2025-12-03,접대비,(주) 나루,315695,선물비,김예은,배성진,0,
ANO0000000016,2025-09-20,여비교통비,주식회사 마루,5993412,출장비,강예준,김현숙,1,비정상적 금액
TXN0000006404,2025-06-26,현금,주식회사 발해,1883442,소액 경비,김상현,이서영,0,
TXN0000004464,2025-04-02,급여,(유) 네오제조,3668063,상여금 지급,김유진,박옥자,0,
TXN0000000226,2025-01-29,임차료,(유) 제나,789309,창고 임차료,박숙자,김진우,0,
TXN0000002706,2025-05-30,여비교통비,(주) 발해인포네트웍스,41092,교통비,김경수,강현주,0,
TXN0000001941,2025-10-16,매출,(주) 모두기술,3729426,용역 제공,김진우,이지연,0,
TXN0000000212,2025-10-15,임차료,(유) 국민윈드네트워크,1365175,사무실 임차료,남영길,김정남,0,
TXN0000003034,2025-12-12,매출,(주) 모두푸른전자,7901073,수수료 수입,안상호,이현주,0,
TXN0000005658,2025-07-01,매입,유한회사 유니온코리아기획,531790,소모품 구매,장성민,박지우,0,
TXN0000007986,2025-07-10,여비교통비,주식회사 가야코어신문,93431,숙박비,이춘자,김영식,0,
TXN0000000962,2025-09-22,현금,주식회사 보람,3473031,현금 입금,박미영,이정자,0,
TXN0000003061,2025-11-06,임차료,(유) 월드윈드소프트,2382073,창고 임차료,허옥순,노준영,0,
TXN0000007569,2025-11-10,매출,(유) 보람,3500770,수수료 수입,오민수,박숙자,0,
TXN0000002163,2025-08-10,매출,유한회사 중앙한강기획,2782113,제품 판매,이정순,김경희,0,
TXN0000005084,2025-08-03,매출,주식회사 푸른마루출판,5721247,제품 판매,서옥자,서영미,0,
TXN0000003850,2025-10-22,임차료,주식회사 종합연구소,2056399,사무실 임차료,이진우,김준영,0,
TXN0000000722,2025-10-14,임차료,(주) 글로벌가온기술,1065870,사무실 임차료,윤성민,최우진,0,
TXN0000000256,2025-01-18,급여,(주) 가야,4472479,상여금 지급,김영미,유성민,0,
TXN0000008154,2025-12-04,매출,(주) 윈드,3355562,제품 판매,오예은,박명숙,0,
TXN0000001136,2025-04-02,급여,주식회사 신라유니온연구소,2712723,퇴직금 지급,심미경,김지아,0,
TXN0000008769,2025-12-22,매출,(주) 코어,2269149,용역 제공,이성호,김주원,0,
TXN0000005747,2025-10-29,매입,(주) 하나,2636068,소모품 구매,최민재,김영길,0,
TXN0000005951,2025-05-21,여비교통비,(주) 이노,99547,교통비,윤광수,박승민,0,
TXN0000001119,2025-09-07,임차료,(유) 시너지,1351823,사무실 임차료,김성훈,강중수,0,
TXN0000008530,2025-03-03,현금,(유) 첨단시너지반도체,683545,현금 출금,강영미,배지은,0,
TXN0000006833,2025-09-01,매출,주식회사 비전센터,8799178,제품 판매,이진우,이경숙,0,
TXN0000003389,2025-10-12,현금,(주) 국민센터,1481085,현금 입금,김예진,김영미,0,
TXN0000002252,2025-07-19,매입,유한회사 가온네트워크,3928890,원재료 구매,강예지,서옥순,0,
TXN0000001223,2025-02-16,급여,(유) 보람글로벌테크,4310092,상여금 지급,성민석,김미영,0,
TXN0000008486,2025-08-15,여비교통비,주식회사 발해,101988,숙박비,송서준,윤종수,0,
TXN0000008578,2025-12-09,매입,유한회사 가야유통,2967097,상품 매입,서준혁,박도윤,0,
TXN0000008374,2025-02-04,여비교통비,주식회사 코리아출판,120596,숙박비,박준영,이미정,0,
TXN0000008173,2025-02-02,급여,주식회사 중앙그룹,3466057,급여 지급,이승현,김은지,0,
ANO0000000099,2025-09-14,접대비,특정거래처,97329,소액 접대,김철수,최정자,1,빈번한 소액거래
TXN0000003903,2025-11-12,여비교통비,유한회사 마루,60712,교통비,박은주,이예원,0,
TXN0000006303,2025-09-02,매출,(주) 모두,7757395,제품 판매,박정희,박수진,0,
TXN0000007074,2025-09-12,급여,유한회사 스타인포엔지니어링,3207370,퇴직금 지급,이정숙,김영자,0,
TXN0000002606,2025-01-01,현금,(주) 아름플랫폼,971422,소액 경비,김광수,김미경,0,
TXN0000000087,2025-04-22,급여,(주) 다올,2098282,퇴직금 지급,김진우,하영진,0,
TXN0000008148,2025-09-28,임차료,유한회사 씨앤씨,696955,사무실 임차료,김옥순,이정웅,0,
TXN0000008964,2025-07-20,여비교통비,(주) 고려원더테크,119230,출장비,김현정,이민수,0,
TXN0000000647,2025-10-31,현금,(유) 나루,2463438,현금 출금,김영호,김성수,0,
TXN0000001778,2025-02-09,현금,(유) 이노소프트,1757621,소액 경비,강재호,김은정,0,
TXN0000003251,2025-09-04,매입,유한회사 유니온겨레제조,3357794,상품 매입,김민준,박성현,0,
ANO0000000454,2025-11-02,매입,유한회사 고려고구려시스템,2000000,물품 구매,백명숙,정승현,1,라운드 금액
ANO0000000475,2025-06-17,접대비,특정거래처,93286,소액 접대,김철수,이현준,1,빈번한 소액거래
ANO0000000922,2025-06-28,현금,주식회사 아름바이오,604614,긴급 지출,손서연,이지후,1,주말 거래
TXN0000001510,2025-08-27,현금,(주) 코어첨단에너지,1274117,현금 출금,최동현,최준혁,0,
TXN0000007306,2025-03-09,현금,(주) 씨앤씨,3206409,소액 경비,권성진,신민수,0,
TXN0000004294,2025-10-16,급여,(주) 라온,4689500,급여 지급,장서연,엄순옥,0,
TXN0000001738,2025-10-19,급여,주식회사 네오,2657212,상여금 지급,김성수,이지현,0,
TXN0000001643,2025-04-17,임차료,주식회사 마음스타반도체,618784,창고 임차료,최유진,박하은,0,
TXN0000007183,2025-10-16,매출,유한회사 라온신라네트웍스,6032390,제품 판매,양수민,김서윤,0,
TXN0000007794,2025-09-04,매출,(유) 나루,9634928,수수료 수입,안예지,박도윤,0,
TXN0000008069,2025-10-14,현금,(주) 국민글로벌뷰티,1176389,소액 경비,최성수,권영자,0,
ANO0000000878,2025-03-29,현금,주식회사 글로벌조선에이아이,302387,긴급 지출,오영수,최수민,1,주말 거래
ANO0000000137,2025-07-26,접대비,동일거래처,450000,거래처 접대,김현준,지서준,1,중복거래
TXN0000008245,2025-10-20,임차료,(유) 첨단기술,1441259,사무실 임차료,하병철,한은정,0,
TXN0000001668,2025-07-26,매입,(주) 가야출판,2787097,소모품 구매,윤미숙,김은지,0,
TXN0000004199,2025-12-03,접대비,주식회사 스타,394634,선물비,김지은,김정순,0,
TXN0000000101,2025-02-26,접대비,(주) 우리전자,485219,회식비,신성현,김건우,0,
TXN0000001359,2025-11-20,여비교통비,(주) 백제전자,25557,교통비,황현숙,김예준,0,
TXN0000000052,2025-01-18,접대비,주식회사 한빛금고,455988,거래처 접대,손미영,박영환,0,
TXN0000000430,2025-01-27,접대비,주식회사 모두인포네트웍스,308244,선물비,이상호,이정호,0,
TXN0000001097,2025-08-20,접대비,주식회사 국민,112228,거래처 접대,김정식,안영진,0,
TXN0000008607,2025-08-08,임차료,(유) 한빛넥스트신문,989360,창고 임차료,김성훈,김지우,0,
TXN0000000074,2025-03-27,매출,(주) 다올금고,3365261,제품 판매,최경수,박영식,0,
TXN0000000516,2025-06-06,매출,유한회사 글로벌정보통신,256041,용역 제공,이윤서,손서윤,0,
TXN0000001015,2025-07-06,매출,(주) 글로벌,6549257,용역 제공,하성현,김상현,0,
TXN0000006168,2025-04-21,임차료,주식회사 가람조선보안,2741738,사무실 임차료,이하윤,김정훈,0,
ANO0000000714,2025-04-06,접대비,동일거래처,450000,거래처 접대,김유진,오정숙,1,중복거래
TXN0000001381,2025-04-21,현금,(주) 넥스트스타정보통신,4230010,현금 입금,김지현,김서영,0,
TXN0000003278,2025-08-09,임차료,(유) 월드에너지,2706697,창고 임차료,이승민,고수빈,0,
ANO0000000210,2025-05-15,매입,주식회사 종합반도체,2000000,물품 구매,김현숙,남도현,1,라운드 금액
TXN0000006801,2025-11-24,급여,주식회사 모두,3843441,상여금 지급,문영일,이정호,0,
TXN0000000034,2025-11-18,매출,(주) 월드,1515761,수수료 수입,민경희,이예진,0,
ANO0000000071,2025-02-17,접대비,특정거래처,94129,소액 접대,김철수,김지아,1,빈번한 소액거래
ANO0000000686,2025-08-21,여비교통비,유한회사 다올,8075136,출장비,김민지,백명숙,1,비정상적 금액
TXN0000002464,2025-06-09,매입,(유) 보람원더코스메틱,3029841,상품 매입,최지원,김명숙,0,
TXN0000003146,2025-07-27,접대비,주식회사 가야,405684,거래처 접대,김보람,박예진,0,
TXN0000005429,2025-09-09,임차료,유한회사 가온첨단시스템즈,1949467,창고 임차료,김정순,김경숙,0,
TXN0000007501,2025-09-12,접대비,유한회사 가야제나코스메틱,362383,선물비,지영일,최수빈,0,
TXN0000006948,2025-10-28,매출,주식회사 발해,3413812,제품 판매,주은경,김영환,0,
TXN0000000649,2025-11-10,급여,주식회사 한빛,3176923,상여금 지급,이정숙,이현우,0,
ANO0000000798,2025-06-15,현금,(유) 푸른제조,141523,긴급 지출,김민준,양도윤,1,주말 거래
TXN0000005763,2025-01-03,급여,주식회사 이노,3129685,상여금 지급,김현준,권성민,0,
TXN0000008911,2025-10-18,매출,(유) 미래솔루션,9346826,수수료 수입,김은영,김지아,0,
TXN0000006745,2025-10-11,매입,주식회사 브레인유니온네트워크,1121547,소모품 구매,문서영,윤성훈,0,
TXN0000007085,2025-01-03,접대비,주식회사 나루출판,100710,거래처 접대,이시우,이현준,0,
TXN0000004693,2025-03-23,현금,유한회사 국민,4470235,현금 입금,이광수,이서준,0,
TXN0000005369,2025-02-27,급여,유한회사 중앙모두정보통신,4230005,급여 지급,양정훈,이은지,0,
TXN0000007809,2025-06-09,현금,주식회사 모두글로벌기획,3521500,현금 입금,박도현,이아름,0,
TXN0000003757,2025-04-14,임차료,(주) 코리아,2422860,사무실 임차료,차준호,이유진,0,
TXN0000006172,2025-06-09,임차료,유한회사 코어,1638765,사무실 임차료,최서현,장준혁,0,
ANO0000000253,2025-10-27,여비교통비,(유) 고구려기술,9018130,출장비,김미정,박지영,1,비정상적 금액
TXN0000002794,2025-01-09,현금,(유) 보람제조,2793834,현금 출금,김서연,김수민,0,
TXN0000006467,2025-05-28,여비교통비,(주) 푸른조선반도체,172297,출장비,이숙자,최승현,0,
TXN0000004809,2025-03-14,접대비,유한회사 조선,444099,거래처 접대,이도현,김춘자,0,
TXN0000005494,2025-06-18,임차료,주식회사 글로벌넥스트센터,1755223,창고 임차료,이중수,양민지,0,
TXN0000003203,2025-12-07,급여,유한회사 비전,4634701,급여 지급,김수빈,한수빈,0,
TXN0000008248,2025-11-18,매입,(유) 가온,1489561,소모품 구매,이지훈,류재현,0,
TXN0000008777,2025-05-22,여비교통비,유한회사 윈드에너지,150639,출장비,남도현,이도윤,0,
TXN0000008499,2025-05-13,매출,유한회사 비전개발공사,8136147,용역 제공,이영길,김지원,0,
TXN0000000208,2025-02-24,급여,주식회사 한빛센터,3184325,퇴직금 지급,이정웅,남성현,0,
TXN0000003009,2025-10-07,급여,주식회사 글로벌,4331013,퇴직금 지급,이영길,이건우,0,
ANO0000000443,2025-07-26,매입,유한회사 마루그룹,5000000,물품 구매,권채원,이민석,1,라운드 금액
TXN0000002978,2025-09-06,접대비,유한회사 종합한빛자동차,417121,회식비,김옥자,강지우,0,
TXN0000002468,2025-10-21,현금,유한회사 한강다올그룹,1325139,현금 입금,장하윤,최미영,0,
TXN0000006003,2025-10-25,매입,(주) 아름,4017250,소모품 구매,양정희,황서윤,0,
ANO0000000028,2025-09-04,접대비,특정거래처,98076,소액 접대,김철수,윤영환,1,빈번한 소액거래
TXN0000003245,2025-07-18,현금,유한회사 겨레플랫폼,1217643,현금 출금,김경자,김성수,0,
TXN0000003334,2025-04-07,현금,(유) 비전마음솔루션,711135,소액 경비,김정희,이순옥,0,
TXN0000003105,2025-10-21,매출,(주) 다올글로벌랩스,3920760,용역 제공,손은지,권옥순,0,
TXN0000005186,2025-09-11,매입,주식회사 시너지,396359,소모품 구매,최영자,최지훈,0,
TXN0000008820,2025-10-23,매입,(유) 브레인연구소,4340067,상품 매입,김춘자,김주원,0,
TXN0000001267,2025-08-22,매입,(주) 국민,3110973,상품 매입,배성민,곽정호,0,
TXN0000008298,2025-12-22,급여,(유) 다올기획,4868078,퇴직금 지급,김현우,홍정식,0,
TXN0000004014,2025-12-02,매입,(주) 코어신문,3388514,원재료 구매,최재호,김예은,0,
TXN0000008356,2025-12-12,현금,(주) 조선유통,946590,소액 경비,강정훈,박현주,0,
TXN0000003250,2025-10-29,급여,주식회사 에코제나출판,3857982,상여금 지급,박지아,류현준,0,
ANO0000000853,2025-07-08,여비교통비,주식회사 마음마루바이오,5185290,출장비,노명자,황상훈,1,비정상적 금액
TXN0000000780,2025-03-31,접대비,(주) 마루항공,328249,거래처 접대,장시우,류성수,0,
TXN0000008429,2025-11-10,임차료,유한회사 종합,1486982,창고 임차료,이수진,한미정,0,
TXN0000007880,2025-08-19,여비교통비,(유) 국민보안,184037,출장비,박영일,김미정,0,
TXN0000004202,2025-07-16,현금,주식회사 시너지,60540,소액 경비,김정숙,이상철,0,
TXN0000003716,2025-09-22,급여,(유) 인포코어솔루션,3659066,상여금 지급,김지연,이은지,0,
TXN0000005407,2025-08-18,급여,(주) 한가람,4151138,상여금 지급,배민준,김정호,0,
TXN0000005130,2025-12-18,임차료,(주) 종합월드개발공사,1529052,사무실 임차료,신정숙,이서준,0,
TXN0000008100,2025-10-05,매출,주식회사 겨레,5388719,용역 제공,서미정,최정남,0,
TXN0000006344,2025-07-13,현금,(유) 원더조선네트워크,2539782,현금 입금,엄성수,김영수,0,
TXN0000000137,2025-08-06,매출,(주) 시너지자동차,7021326,제품 판매,최하은,김영수,0,
TXN0000003283,2025-09-25,현금,유한회사 비전브레인에이아이,2070449,현금 출금,김정희,유준영,0,
TXN0000003359,2025-01-11,현금,(유) 보람,4038941,현금 출금,권지후,손영식,0,
TXN0000005619,2025-08-24,매출,유한회사 브레인네트워크,6450097,용역 제공,이지혜,이지후,0,
ANO0000000770,2025-09-27,현금,유한회사 비전개발공사,649113,긴급 지출,박건우,박지혜,1,주말 거래
TXN0000007436,2025-10-19,여비교통비,유한회사 이노,99470,숙박비,김지혜,송지원,0,
TXN0000001596,2025-08-29,매입,(유) 가람,2496089,상품 매입,정미영,강은주,0,
TXN0000000069,2025-01-20,급여,주식회사 발해,4481716,급여 지급,허민재,김현숙,0,
ANO0000000318,2025-11-15,현금,(주) 조선발해연구소,572106,긴급 지출,서미경,김정숙,1,주말 거래
TXN0000000205,2025-08-05,접대비,주식회사 네오,316780,선물비,이예지,박경숙,0,
ANO0000000351,2025-11-08,현금,유한회사 첨단시너지상사,550530,긴급 지출,노경자,최지우,1,주말 거래
TXN0000000950,2025-02-01,현금,주식회사 겨레,4544285,소액 경비,이서현,윤지영,0,
TXN0000003632,2025-09-09,급여,(유) 에코네오상사,4271769,급여 지급,김상현,김영수,0,
TXN0000005244,2025-06-01,임차료,유한회사 가람,519828,사무실 임차료,고서현,고민재,0,
TXN0000001859,2025-04-24,급여,(주) 마루엔지니어링,3340565,상여금 지급,이은지,김유진,0,
TXN0000004285,2025-07-31,매출,유한회사 종합하나금고,3662856,용역 제공,이지연,손아름,0,
TXN0000002154,2025-03-28,급여,(주) 유니온유통,3674387,퇴직금 지급,김서연,손순자,0,
TXN0000000241,2025-05-26,접대비,유한회사 조선이노기술,276393,선물비,이현지,김민재,0,
TXN0000003563,2025-03-26,여비교통비,(주) 한가람넥스트항공,112109,숙박비,송영순,김지현,0,
TXN0000001649,2025-10-05,현금,(유) 유니온신문,508991,현금 출금,손예원,강순자,0,
TXN0000002009,2025-03-03,급여,주식회사 제나한가람엔지니어링,4636751,퇴직금 지급,안현지,장정수,0,
TXN0000008040,2025-06-28,임차료,(주) 조선가야코스메틱,1735504,창고 임차료,이현주,이윤서,0,
ANO0000000616,2025-12-27,현금,(유) 원더금고,287168,긴급 지출,최예진,윤은경,1,주말 거래
TXN0000007996,2025-10-08,급여,(유) 코리아개발,2343567,퇴직금 지급,송지원,박시우,0,
TXN0000007062,2025-12-19,현금,(주) 중앙종합시스템,1065247,소액 경비,이준호,이옥자,0,
TXN0000005455,2025-07-28,여비교통비,(주) 미래플랫폼,68300,교통비,김상호,박현지,0,
ANO0000000230,2025-03-22,현금,유한회사 겨레아름소프트,801820,긴급 지출,이중수,문지현,1,주말 거래
TXN0000002845,2025-08-15,임차료,(주) 이노,1567305,사무실 임차료,서상현,박도현,0,
TXN0000002615,2025-05-27,급여,주식회사 가람백제자동차,4893429,퇴직금 지급,김준호,이순자,0,
TXN0000001588,2025-03-05,여비교통비,주식회사 푸른,22655,출장비,안영숙,이성현,0,
TXN0000003585,2025-08-25,접대비,주식회사 마루기획,446545,거래처 접대,김서윤,이순자,0,
TXN0000003785,2025-10-18,급여,(주) 아름플랫폼,4199017,퇴직금 지급,노준혁,김옥자,0,
TXN0000005787,2025-11-09,매입,(주) 한빛가람그룹,1420611,상품 매입,김상호,이준서,0,
TXN0000005374,2025-03-10,매출,유한회사 나루,4855180,용역 제공,이병철,김도윤,0,
TXN0000000251,2025-09-25,여비교통비,유한회사 인포미래정보통신,125509,교통비,김정남,박진호,0,
TXN0000001539,2025-09-02,현금,주식회사 국민정보통신,1710079,소액 경비,나경희,조성훈,0,
